file,speaker,type,chars,text
"fsp_campaign_ch1_s16_l0.mp3","amara","dialogue",12,"I'll go too."
"fsp_campaign_ch1_s16_l2.mp3","amara","dialogue",99,"Fifty-five people, Mikhail. This is the first operation for the person I recommended. I need to go."
"fsp_campaign_ch10_s07_l0.mp3","amara","dialogue",55,"Thomas Alder was a member of Talon Group's Mars branch."
"fsp_campaign_ch10_s07_l1.mp3","amara","dialogue",39,"He infiltrated FSP. From the beginning."
"fsp_campaign_ch10_s07_l3.mp3","amara","dialogue",36,"To divide FSP. It worked. Partially."
"fsp_campaign_ch10_s17_l4.mp3","amara","dialogue",22,"Or in a different way."
"fsp_campaign_ch10_s21_l0.mp3","amara","dialogue",61,"The Earth-side coalition is trying to block Gaia's departure."
"fsp_campaign_ch10_s21_l2.mp3","amara","dialogue",78,"Mars economic blockade. Pressure on MCC. Demanding they reverse the agreement."
"fsp_campaign_ch10_s29_l0.mp3","amara","dialogue",35,"Seventy-two hours. MCC is wavering."
"fsp_campaign_ch10_s29_l2.mp3","amara","dialogue",77,"Earth-side pressure is strong. If sanctions are real MCC's economy collapses."
"fsp_campaign_ch7_s06_l0.mp3","amara","dialogue",69,"Amara Okafor. From southern Hellas. Eleven years as a representative."
"fsp_campaign_ch7_s06_l1.mp3","amara","dialogue",116,"FSP's next step is negotiation. With MCC too. With CV too. Negotiate while fighting. That is how to survive on Mars."
"fsp_campaign_ch7_s06_l2.mp3","amara","dialogue",64,"What Mikhail built I will carry forward. But in a different way."
"fsp_campaign_ch7_s10b_amara_vs_mikhail_l0.mp3","amara","dialogue",74,"Mikhail. FSP can sit at the negotiating table with MCC. If I become chair."
"fsp_campaign_ch7_s10b_amara_vs_mikhail_l2.mp3","amara","dialogue",70,"The safety of miners. Legal protection. Without those there's nothing."
"fsp_campaign_ch7_s12b_delay_debate_l0.mp3","amara","dialogue",47,"Must postpone the election. Crisis comes first."
"fsp_campaign_ch9_s15_l0.mp3","amara","dialogue",31,"Who does Pilgrim Arms work for."
"fsp_campaign_ch9_s17_l4.mp3","amara","dialogue",30,"Those who can fight. Come now."
"fsp_campaign_ch9_s19_l1.mp3","amara","dialogue",34,"I know where the remaining one is."
"fsp_campaign_ch9_s19_l3.mp3","amara","dialogue",17,"No. Still enough."
"fsp_campaign_ch9_s25_l5.mp3","amara","dialogue",20,"I'm fine. I can sit."
"fsp_campaign_ch9_s43_l0.mp3","amara","dialogue",14,"Reverend Hale."
"fsp_campaign_ch9_s43_l2.mp3","amara","dialogue",47,"When the names are recorded... what comes next."
"fsp_campaign_ch9_s43_l4.mp3","amara","dialogue",20,"How do names decide."
"fsp_prologue_p31_l0.mp3","amara","dialogue",27,"You came. Took a long time."
"fsp_prologue_p31_l1.mp3","amara","dialogue",29,"How's Mars? First impression."
"fsp_prologue_p31_l2.mp3","amara","dialogue",79,"You don't have to say. It's right not to know yet. Need a few more days to see."
"cv_prologue_s04_l0.mp3","bartender","dialogue",53,"People have been going south. Three this month alone."
"cv_prologue_s04_l1.mp3","bartender","dialogue",15,"None came back."
"cv_prologue_s04_l2.mp3","bartender","dialogue",81,"Don't know if they're dead or if they stayed. Don't know if there's a difference."
"prologue_shared_s32_l0.mp3","berk","dialogue",47,"Is there a first-time Mars passenger among you."
"prologue_shared_s32_l1.mp3","berk","dialogue",111,"If it's your first time act like it's your second. Mars doesn't know the difference. Not knowing is the danger."
"prologue_shared_s32_l2.mp3","berk","dialogue",57,"Ten hours to Hellas Central. Everyone stay in your seats."
"prologue_shared_s48_l0.mp3","berk","dialogue",32,"Looks like that your first time."
"prologue_shared_s48_l1.mp3","berk","dialogue",83,"Looks like that your second time too. Third. You don't get used to it. That's Mars."
"prologue_shared_s48_l2.mp3","berk","dialogue",20,"Where are you going."
"cv_campaign_ch10_s03_l0.mp3","butcher","dialogue",9,"You came."
"cv_campaign_ch10_s03_l1.mp3","butcher","dialogue",90,"You see the photo. You know the names. Thirty years. The names look younger. I look older."
"cv_campaign_ch10_s03_l2.mp3","butcher","dialogue",50,"The next CV is you. My decision. My last decision."
"cv_campaign_ch10_s06_l0.mp3","butcher","dialogue",41,"Something to tell you. For the last time."
"cv_campaign_ch10_s06_l1.mp3","butcher","dialogue",93,"The night before Zone 12. The person who called me. Didn't know for thirty years. Now I know."
"cv_campaign_ch10_s06_l2.mp3","butcher","dialogue",81,"It was someone inside MCC. They saved my life. Don't know why. But they saved it."
"cv_campaign_ch10_s10_l0.mp3","butcher","dialogue",128,"Chen's mother saved me thirty years ago. Chen stayed inside MCC for twenty-two years. For the same reason. That's why CV exists."
"cv_campaign_ch10_s10_l1.mp3","butcher","dialogue",59,"We chose different doors. For the same reason. That's Mars."
"cv_campaign_ch10_s14_l0.mp3","butcher","dialogue",45,"I'll give you the photo. The names are in it."
"cv_campaign_ch10_s14_l1.mp3","butcher","dialogue",103,"I'll give you the prosthetic too. Made at seventeen. Thirty years old. Still works. Cinder repaired it."
"cv_campaign_ch10_s14_l2.mp3","butcher","dialogue",32,"Those are CV. The rest you make."
"cv_campaign_ch10_s18_l0.mp3","butcher","dialogue",90,"For thirty years I touched the names. On the back of the photo. Now they're on the inside."
"cv_campaign_ch10_s18_l1.mp3","butcher","dialogue",37,"Cinder knows better. How to remember."
"cv_campaign_ch10_s20_l2.mp3","butcher","dialogue",27,"You decide. It's yours now."
"cv_campaign_ch10_s22_l0.mp3","butcher","dialogue",40,"Names in it. On the back. Remember them."
"cv_campaign_ch10_s22_l1.mp3","butcher","dialogue",47,"When they're gone write them again. That's all."
"cv_campaign_ch10_s28_l0.mp3","butcher","dialogue",44,"Last question. If you're CV what kind of CV."
"cv_campaign_ch10_s28_l1.mp3","butcher","dialogue",77,"Thirty years ago I decided at seventeen. Not to sign. That was the beginning."
"cv_campaign_ch10_s28_l2.mp3","butcher","dialogue",21,"What's your decision."
"cv_campaign_ch10_s30_l3.mp3","butcher","dialogue",30,"The demilitarized zone clause."
"cv_campaign_ch10_s32_l0.mp3","butcher","dialogue",16,"Ask me directly."
"cv_campaign_ch10_s32_l2.mp3","butcher","dialogue",70,"Zone 12 names are in the agreement. Cinder signed as Zone 12 survivor."
